,Unnamed: 0,COUNTRY,YEAR,VISA APPROVED
0,14,BANGLADESH,2012,457565
1,168,UNITED KINGDOM,2012,405456
2,15,BANGLADESH,2013,372970
3,13,BANGLADESH,2011,293770
4,169,UNITED KINGDOM,2013,267256
5,170,USA,2012,241215
6,171,USA,2013,199659
7,147,SRI LANKA,2012,177929
8,53,GERMANY,2012,174035
9,50,FRANCE,2012,160992
10,90,MALAYSIA,2012,136676
11,32,CHINA,2012,133674
12,28,CANADA,2012,125785
13,54,GERMANY,2013,123595
14,129,RUSSIAN FEDERATION,2013,123580
15,167,UNITED KINGDOM,2011,118625
16,51,FRANCE,2013,115497
17,148,SRI LANKA,2013,113684
18,33,CHINA,2013,110295
19,91,MALAYSIA,2013,108820
20,4,AUSTRALIA,2012,100315
21,78,JAPAN,2013,97825
22,52,GERMANY,2011,96056
23,128,RUSSIAN FEDERATION,2012,95065
24,5,AUSTRALIA,2013,76065
25,165,UNITED ARAB EMIRATES,2012,71170
26,166,UNITED ARAB EMIRATES,2013,68381
27,75,ITALY,2012,63922
28,27,CANADA,2011,57756
29,77,JAPAN,2012,57598
30,160,THAILAND,2012,56845
31,136,SINGAPORE,2013,54894
32,84,KOREA(REPUBLIC OF),2013,52485
33,117,PAKISTAN,2013,51979
34,3,AUSTRALIA,2011,51455
35,83,KOREA(REPUBLIC OF),2012,49664
36,76,ITALY,2013,49266
37,144,SPAIN,2012,47814
38,161,THAILAND,2013,46974
39,103,NETHERLANDS,2012,44673
40,135,SINGAPORE,2012,44128
41,115,OMAN,2013,42847
42,29,CANADA,2013,42640
43,31,CHINA,2011,39526
44,49,FRANCE,2011,39288
45,156,SWITZERLAND,2012,33326
46,146,SRI LANKA,2011,32734
47,153,SWEDEN,2012,31437
48,102,NETHERLANDS,2011,31160
49,104,NETHERLANDS,2013,29856
50,145,SPAIN,2013,29419
51,17,BELGIUM,2012,28095
52,12,BANGLADESH,2010,27746
53,73,ISRAEL,2013,27172
54,157,SWITZERLAND,2013,24011
55,141,SOUTH AFRICA,2013,23976
56,7,AUSTRIA,2012,23957
57,89,MALAYSIA,2011,23381
58,154,SWEDEN,2013,22710
59,18,BELGIUM,2013,20413
60,159,TAIWAN,2013,20321
61,158,TAIWAN,2012,19716
62,69,IRAN,2013,19176
63,68,IRAN,2012,18727
64,155,SWITZERLAND,2011,17641
65,8,AUSTRIA,2013,17363
66,47,FINLAND,2012,16315
67,109,NIGERIA,2012,16060
68,112,NORWAY,2012,15556
69,66,INDONESIA,2013,14824
70,124,POLAND,2013,14627
71,114,OMAN,2012,14408
72,16,BELGIUM,2011,14395
73,106,NEW ZEALAND,2012,13877
74,140,SOUTH AFRICA,2012,13272
75,72,ISRAEL,2012,11558
76,122,PHILIPPINES,2013,10926
77,110,NIGERIA,2013,10850
78,41,DENMARK,2013,10549
